time,latitude,longitude,sst
UTC,degrees_north,degrees_east,
2010-01-01T00:00:00Z,9.0,71.5,302.0713
2010-01-01T00:00:00Z,9.0,71.75,302.0371
2010-01-01T00:00:00Z,9.0,72.0,301.98926
2010-01-01T00:00:00Z,9.0,72.25,301.9375
2010-01-01T00:00:00Z,9.0,72.5,301.89355
2010-01-01T00:00:00Z,9.0,72.75,301.86133
2010-01-01T00:00:00Z,9.0,73.0,301.8457
2010-01-01T00:00:00Z,9.0,73.25,301.83203
2010-01-01T00:00:00Z,9.0,73.5,301.83594
2010-01-01T00:00:00Z,9.0,73.75,301.8457
2010-01-01T00:00:00Z,9.0,74.0,301.8662
2010-01-01T00:00:00Z,9.0,74.25,301.88965
2010-01-01T00:00:00Z,9.0,74.5,301.9746
2010-01-01T00:00:00Z,9.0,74.75,302.04492
2010-01-01T00:00:00Z,9.0,75.0,302.12012
2010-01-01T00:00:00Z,9.0,75.25,302.12207
2010-01-01T00:00:00Z,9.0,75.5,302.0918
2010-01-01T00:00:00Z,9.0,75.75,301.9463
2010-01-01T00:00:00Z,9.0,76.0,301.79883
2010-01-01T00:00:00Z,9.0,76.25,301.75195
2010-01-01T00:00:00Z,9.0,76.5,NaN
2010-01-01T00:00:00Z,9.0,76.75,NaN
2010-01-01T00:00:00Z,9.0,77.0,NaN
2010-01-01T00:00:00Z,9.0,77.25,NaN
2010-01-01T00:00:00Z,9.0,77.5,NaN
2010-01-01T00:00:00Z,9.0,77.75,NaN
2010-01-01T00:00:00Z,9.0,78.0,NaN
2010-01-01T00:00:00Z,9.25,70.0,302.08887
2010-01-01T00:00:00Z,9.25,70.25,302.08984
2010-01-01T00:00:00Z,9.25,70.5,302.10352
2010-01-01T00:00:00Z,9.25,70.75,302.11426
2010-01-01T00:00:00Z,9.25,71.0,302.11816
2010-01-01T00:00:00Z,9.25,71.25,302.09375
2010-01-01T00:00:00Z,9.25,71.5,302.06543
2010-01-01T00:00:00Z,9.25,71.75,302.03223
2010-01-01T00:00:00Z,9.25,72.0,301.99023
2010-01-01T00:00:00Z,9.25,72.25,301.95215
2010-01-01T00:00:00Z,9.25,72.5,301.917
2010-01-01T00:00:00Z,9.25,72.75,301.9004
2010-01-01T00:00:00Z,9.25,73.0,301.88477
2010-01-01T00:00:00Z,9.25,73.25,301.8828
2010-01-01T00:00:00Z,9.25,73.5,301.88672
2010-01-01T00:00:00Z,9.25,73.75,301.90527
2010-01-01T00:00:00Z,9.25,74.0,301.9297
2010-01-01T00:00:00Z,9.25,74.25,301.96973
2010-01-01T00:00:00Z,9.25,74.5,302.01465
2010-01-01T00:00:00Z,9.25,74.75,302.083
2010-01-01T00:00:00Z,9.25,75.0,302.1162
2010-01-01T00:00:00Z,9.25,75.25,302.1162
2010-01-01T00:00:00Z,9.25,75.5,302.00684
2010-01-01T00:00:00Z,9.25,75.75,301.85938
2010-01-01T00:00:00Z,9.25,76.0,301.74023
2010-01-01T00:00:00Z,9.25,76.25,301.6416
2010-01-01T00:00:00Z,9.25,76.5,NaN
2010-01-01T00:00:00Z,9.25,76.75,NaN
2010-01-01T00:00:00Z,9.25,77.0,NaN
2010-01-01T00:00:00Z,9.25,77.25,NaN
2010-01-01T00:00:00Z,9.25,77.5,NaN
2010-01-01T00:00:00Z,9.25,77.75,NaN
2010-01-01T00:00:00Z,9.25,78.0,NaN
2010-01-01T00:00:00Z,9.5,70.0,302.05957
2010-01-01T00:00:00Z,9.5,70.25,302.06348
2010-01-01T00:00:00Z,9.5,70.5,302.07422
2010-01-01T00:00:00Z,9.5,70.75,302.08105
2010-01-01T00:00:00Z,9.5,71.0,302.08496
2010-01-01T00:00:00Z,9.5,71.25,302.0869
2010-01-01T00:00:00Z,9.5,71.5,302.06152
