time,latitude,longitude,uwnd,vwnd,wspd,upstr,vpstr,nobs
UTC,degrees_north,degrees_east,m/s,m/s,m/s,m2/s2,m2/s2,count
2010-01-01T00:00:00Z,7.625,72.375,-2.348471,-1.9593481,3.8649068,-10.193493,-8.972715,92.0
2010-01-01T00:00:00Z,7.625,72.625,-2.2706463,-1.8662637,3.7470253,-9.674663,-8.240249,92.0
2010-01-01T00:00:00Z,7.625,72.875,-2.1180491,-1.7701275,3.5925207,-8.759079,-7.355185,91.0
2010-01-01T00:00:00Z,7.625,73.125,-2.0417504,-1.7106146,3.478073,-8.209729,-6.7447963,90.0
2010-01-01T00:00:00Z,7.625,73.375,-1.9211987,-1.6755172,3.3498912,-7.477263,-6.2870045,86.0
2010-01-01T00:00:00Z,7.625,73.625,-1.9395105,-1.4832448,3.2789335,-7.477263,-5.2188244,90.0
2010-01-01T00:00:00Z,7.625,73.875,-1.9395105,-1.3428553,3.2297208,-7.416224,-4.4863577,91.0
2010-01-01T00:00:00Z,7.625,74.125,-1.9303546,-1.1765244,3.1335845,-7.355185,-3.6928523,92.0
2010-01-01T00:00:00Z,7.625,74.375,-1.9547701,-1.0483427,3.0729272,-7.4467435,-3.051944,91.0
2010-01-01T00:00:00Z,7.625,74.625,-2.073796,-0.8499664,3.0900943,-8.209729,-2.1058414,93.0
2010-01-01T00:00:00Z,7.625,74.875,-2.1989257,-0.76603794,3.201109,-9.216871,-1.8006469,91.0
2010-01-01T00:00:00Z,7.625,75.125,-2.3499968,-0.7812977,3.273211,-10.071415,-1.9227247,94.0
2010-01-01T00:00:00Z,7.625,75.375,-2.6475613,-0.90032345,3.4734948,-11.597387,-2.624672,93.0
2010-01-01T00:00:00Z,7.625,75.625,-2.8688273,-1.0651284,3.6508892,-12.787645,-3.6318133,92.0
2010-01-01T00:00:00Z,7.625,75.875,-3.2838917,-1.1276933,4.0194116,-15.80907,-4.516877,91.0
2010-01-01T00:00:00Z,7.625,76.125,-3.6882744,-1.4405175,4.433713,-18.983091,-6.714277,91.0
2010-01-01T00:00:00Z,7.625,76.375,-4.365806,-1.9318806,5.162746,-25.270096,-10.498688,87.0
2010-01-01T00:00:00Z,7.625,76.625,-5.070805,-2.4705486,5.960448,-33.388268,-15.839589,91.0
2010-01-01T00:00:00Z,7.625,76.875,-5.617103,-3.0153208,6.6791806,-41.2928,-21.8214,89.0
2010-01-01T00:00:00Z,7.625,77.125,-5.9680767,-3.8469753,7.365868,-47.488247,-30.427881,92.0
2010-01-01T00:00:00Z,7.625,77.375,-6.145089,-4.9838247,8.12008,-53.042786,-43.18501,51.0
2010-01-01T00:00:00Z,7.625,77.625,-6.1267776,-5.9985957,8.772432,-56.583042,-56.338886,42.0
2010-01-01T00:00:00Z,7.625,77.875,-5.791064,-6.911127,9.184445,-54.934994,-66.74602,83.0
2010-01-01T00:00:00Z,7.625,78.125,-5.687298,-7.2758346,9.369851,-54.873955,-71.44601,94.0
2010-01-01T00:00:00Z,7.875,70.125,-2.7467496,-3.056522,4.6271296,-13.184398,-15.992187,84.0
2010-01-01T00:00:00Z,7.875,70.375,-2.6551912,-3.051944,4.5035257,-12.451932,-15.748031,84.0
2010-01-01T00:00:00Z,7.875,70.625,-2.6338277,-2.9817493,4.439435,-12.268815,-15.2292,84.0
2010-01-01T00:00:00Z,7.875,70.875,-2.61399,-2.949704,4.3856444,-12.085698,-14.924006,83.0
2010-01-01T00:00:00Z,7.875,71.125,-2.62162,-2.717756,4.3043866,-11.96362,-13.764267,83.0
2010-01-01T00:00:00Z,7.875,71.375,-2.5392175,-2.5224316,4.1727715,-11.383751,-12.635048,86.0
2010-01-01T00:00:00Z,7.875,71.625,-2.4690228,-2.4995422,4.116692,-10.92596,-12.268815,83.0
2010-01-01T00:00:00Z,7.875,71.875,-2.3255813,-2.3118477,4.002244,-10.162973,-11.261673,87.0
2010-01-01T00:00:00Z,7.875,72.125,-2.2019775,-2.2157114,3.9164083,-9.583104,-10.529207,89.0
2010-01-01T00:00:00Z,7.875,72.375,-2.1546724,-2.023439,3.8042493,-9.216871,-9.399987,92.0
2010-01-01T00:00:00Z,7.875,72.625,-2.0554843,-1.910517,3.68179,-8.69804,-8.6064825,90.0
2010-01-01T00:00:00Z,7.875,72.875,-1.9303546,-1.797595,3.5444527,-8.026612,-7.6603794,89.0
2010-01-01T00:00:00Z,7.875,73.125,-1.8830495,-1.7304523,3.4311492,-7.5993404,-7.0499907,87.0
2010-01-01T00:00:00Z,7.875,73.375,-1.7899652,-1.7029848,3.3327239,-7.0499907,-6.592199,86.0
2010-01-01T00:00:00Z,7.875,73.625,-1.7258743,-1.6434718,3.256044,-6.592199,-6.0733685,89.0
2010-01-01T00:00:00Z,7.875,73.875,-1.6587316,-1.4359397,3.0935278,-6.164927,-4.8831105,90.0
2010-01-01T00:00:00Z,7.875,74.125,-1.7045107,-1.1673685,3.0225701,-6.4090824,-3.6012938,92.0
2010-01-01T00:00:00Z,7.875,74.375,-1.7777574,-0.9812,3.0145588,-6.897393,-2.563633,92.0
2010-01-01T00:00:00Z,7.875,74.625,-1.7457119,-0.82555085,2.9630573,-6.8058352,-1.8616859,90.0
2010-01-01T00:00:00Z,7.875,74.875,-1.797595,-0.69889516,2.9905248,-7.355185,-1.4344137,91.0
2010-01-01T00:00:00Z,7.875,75.125,-1.9334065,-0.65006405,3.051182,-8.026612,-1.312336,92.0
2010-01-01T00:00:00Z,7.875,75.375,-2.06464,-0.6653238,3.0786495,-8.545444,-1.525972,93.0
2010-01-01T00:00:00Z,7.875,75.625,-2.2111335,-0.73704445,3.1908085,-9.308429,-2.0448024,93.0
2010-01-01T00:00:00Z,7.875,75.875,-2.5254836,-0.66227186,3.4013927,-11.139596,-1.9837636,92.0
2010-01-01T00:00:00Z,7.875,76.125,-2.8993468,-0.82555085,3.6680562,-13.214917,-2.9603856,91.0
2010-01-01T00:00:00Z,7.875,76.375,-3.5356772,-1.2314594,4.2414403,-17.579197,-5.2798634,89.0
2010-01-01T00:00:00Z,7.875,76.625,-4.286455,-1.6404198,4.972762,-24.232435,-8.575963,87.0
2010-01-01T00:00:00Z,7.875,76.875,-5.124214,-2.3133736,5.850578,-34.700603,-14.374657,29.0
2010-01-01T00:00:00Z,7.875,77.125,-5.3546357,-2.8123665,6.6025004,-35.55515,-18.738935,5.0
2010-01-01T00:00:00Z,7.875,77.375,-5.8200574,-3.7172678,6.9366884,-42.05579,-27.833729,3.0
2010-01-01T00:00:00Z,7.875,77.625,NaN,NaN,NaN,NaN,NaN,0.0
2010-01-01T00:00:00Z,7.875,77.875,-4.2772994,-8.012879,9.22908,-40.83501,-74.101204,3.0
2010-01-01T00:00:00Z,7.875,78.125,-5.7025576,-7.8770676,9.849387,-58.200573,-79.93041,34.0
2010-01-01T00:00:00Z,8.125,70.125,-2.6033082,-3.105353,4.577917,-12.3603735,-16.205822,84.0
2010-01-01T00:00:00Z,8.125,70.375,-2.5132759,-3.0610998,4.4405794,-11.719465,-15.686992,84.0
2010-01-01T00:00:00Z,8.125,70.625,-2.501068,-3.054996,4.4234123,-11.597387,-15.686992,86.0
2010-01-01T00:00:00Z,8.125,70.875,-2.5849965,-2.9558077,4.3524547,-11.872062,-15.107122,82.0
2010-01-01T00:00:00Z,8.125,71.125,-2.5270097,-2.7467496,4.209395,-11.261673,-13.794786,85.0
2010-01-01T00:00:00Z,8.125,71.375,-2.4278214,-2.6597693,4.106392,-10.651284,-13.245437,84.0
2010-01-01T00:00:00Z,8.125,71.625,-2.2813282,-2.5758407,3.9919438,-9.918818,-12.543489,84.0
2010-01-01T00:00:00Z,8.125,71.875,-2.1104193,-2.4186656,3.9267085,-9.155832,-11.658426,87.0
2010-01-01T00:00:00Z,8.125,72.125,-2.0325947,-2.2202892,3.8362947,-8.69804,-10.498688,89.0
2010-01-01T00:00:00Z,8.125,72.375,-1.9349325,-2.0539584,3.6978128,-8.14869,-9.522065,91.0
2010-01-01T00:00:00Z,8.125,72.625,-1.9944454,-1.9868156,3.6703453,-8.240249,-9.003235,87.0
2010-01-01T00:00:00Z,8.125,72.875,-1.8906794,-1.8036989,3.4963844,-7.2025876,-7.6603794,22.0
2010-01-01T00:00:00Z,8.125,73.125,-1.690777,-2.2096074,2.9802244,-6.2870045,-7.843496,6.0
2010-01-01T00:00:00Z,8.125,73.375,-1.635842,-1.6785692,3.2480326,-6.2870045,-6.439602,57.0
2010-01-01T00:00:00Z,8.125,73.625,-1.6114265,-1.5931147,3.220565,-6.225966,-5.7986937,87.0
2010-01-01T00:00:00Z,8.125,73.875,-1.5183421,-1.4405175,3.0935278,-5.7376547,-4.852591,91.0
2010-01-01T00:00:00Z,8.125,74.125,-1.4786669,-1.2924982,3.003114,-5.5545382,-3.9980466,92.0
2010-01-01T00:00:00Z,8.125,74.375,-1.4954525,-1.0010376,2.9401677,-5.646096,-2.4720747,92.0
2010-01-01T00:00:00Z,8.125,74.625,-1.5320759,-0.7706159,2.8840883,-5.98181,-1.4954525,92.0
2010-01-01T00:00:00Z,8.125,74.875,-1.583959,-0.6454862,2.9596238,-6.5311604,-1.037661,92.0
