time,LEV,latitude,longitude,u,v
UTC,millibar,degrees_north,degrees_east,,
2010-01-01T00:00:00Z,1000.0,7.75,74.0,-1.4088202,-0.93115807
2010-01-01T00:00:00Z,1000.0,7.75,74.25,-1.2955389,-0.8701229
2010-01-01T00:00:00Z,1000.0,7.75,74.5,-1.2496405,-0.72022057
2010-01-01T00:00:00Z,1000.0,7.75,74.75,-1.2545233,-0.56397057
2010-01-01T00:00:00Z,1000.0,7.75,75.0,-1.3189764,-0.4326229
2010-01-01T00:00:00Z,1000.0,7.75,75.25,-1.4093084,-0.34619713
2010-01-01T00:00:00Z,1000.0,7.75,75.5,-1.5084295,-0.34229088
2010-01-01T00:00:00Z,1000.0,7.75,75.75,-1.691535,-0.26025963
2010-01-01T00:00:00Z,1000.0,7.75,76.0,-2.0289373,-0.35254478
2010-01-01T00:00:00Z,1000.0,7.75,76.25,-2.588996,-0.46533775
2010-01-01T00:00:00Z,1000.0,7.75,76.5,-3.389289,-0.83008385
2010-01-01T00:00:00Z,1000.0,7.75,76.75,-4.5328436,-1.5087948
2010-01-01T00:00:00Z,1000.0,7.75,77.0,-5.871711,-2.6577206
2010-01-01T00:00:00Z,1000.0,7.75,77.25,-7.014777,-4.349615
2010-01-01T00:00:00Z,1000.0,7.75,77.5,-7.3346014,-6.1503963
2010-01-01T00:00:00Z,1000.0,7.75,77.75,-6.642707,-7.4960995
2010-01-01T00:00:00Z,1000.0,7.75,78.0,-6.026496,-7.662115
2010-01-01T00:00:00Z,1000.0,8.0,70.0,-2.6588202,-3.0947323
2010-01-01T00:00:00Z,1000.0,8.0,70.25,-2.6075506,-3.0390682
2010-01-01T00:00:00Z,1000.0,8.0,70.5,-2.5304022,-2.9174862
2010-01-01T00:00:00Z,1000.0,8.0,70.75,-2.4405584,-2.806158
2010-01-01T00:00:00Z,1000.0,8.0,71.0,-2.3731756,-2.681158
2010-01-01T00:00:00Z,1000.0,8.0,71.25,-2.262824,-2.5424862
2010-01-01T00:00:00Z,1000.0,8.0,71.5,-2.191535,-2.4633846
2010-01-01T00:00:00Z,1000.0,8.0,71.75,-2.0616522,-2.3066463
2010-01-01T00:00:00Z,1000.0,8.0,72.0,-1.9679022,-2.222662
2010-01-01T00:00:00Z,1000.0,8.0,72.25,-1.8580389,-2.0913143
2010-01-01T00:00:00Z,1000.0,8.0,72.5,-1.7388983,-1.984869
2010-01-01T00:00:00Z,1000.0,8.0,72.75,-1.6549139,-1.85108
2010-01-01T00:00:00Z,1000.0,8.0,73.0,-1.5294256,-1.6962948
2010-01-01T00:00:00Z,1000.0,8.0,73.25,-1.4722967,-1.5546932
2010-01-01T00:00:00Z,1000.0,8.0,73.5,-1.3555975,-1.3369198
2010-01-01T00:00:00Z,1000.0,8.0,73.75,-1.2501287,-1.19483
2010-01-01T00:00:00Z,1000.0,8.0,74.0,-1.1236639,-1.0258846
2010-01-01T00:00:00Z,1000.0,8.0,74.25,-0.99964046,-0.93897057
2010-01-01T00:00:00Z,1000.0,8.0,74.5,-0.96399593,-0.72803307
2010-01-01T00:00:00Z,1000.0,8.0,74.75,-0.9239569,-0.52490807
2010-01-01T00:00:00Z,1000.0,8.0,75.0,-0.9552069,-0.39307213
2010-01-01T00:00:00Z,1000.0,8.0,75.25,-0.94837093,-0.27539635
2010-01-01T00:00:00Z,1000.0,8.0,75.5,-0.97620296,-0.24121666
2010-01-01T00:00:00Z,1000.0,8.0,75.75,-1.0250311,-0.06592369
2010-01-01T00:00:00Z,1000.0,8.0,76.0,-1.1436834,-0.06934166
2010-01-01T00:00:00Z,1000.0,8.0,76.25,-1.2979803,-0.02295494
2010-01-01T00:00:00Z,1000.0,8.0,76.5,-1.5611639,-0.15234947
2010-01-01T00:00:00Z,1000.0,8.0,76.75,-2.2271795,-0.38428307
2010-01-01T00:00:00Z,1000.0,8.0,77.0,-3.2115545,-0.9179745
2010-01-01T00:00:00Z,1000.0,8.0,77.25,-4.8468084,-2.5390682
2010-01-01T00:00:00Z,1000.0,8.0,77.5,-5.9581366,-4.736334
2010-01-01T00:00:00Z,1000.0,8.0,77.75,-5.6305,-6.920416
2010-01-01T00:00:00Z,1000.0,8.0,78.0,-5.489875,-7.664068
2010-01-01T00:00:00Z,1000.0,8.25,70.0,-2.5689764,-3.1865292
2010-01-01T00:00:00Z,1000.0,8.25,70.25,-2.5138006,-3.1250057
2010-01-01T00:00:00Z,1000.0,8.25,70.5,-2.4176092,-3.003912
2010-01-01T00:00:00Z,1000.0,8.25,70.75,-2.340949,-2.8935604
2010-01-01T00:00:00Z,1000.0,8.25,71.0,-2.2515936,-2.7670956
2010-01-01T00:00:00Z,1000.0,8.25,71.25,-2.1348944,-2.6518612
2010-01-01T00:00:00Z,1000.0,8.25,71.5,-2.0601873,-2.573248
2010-01-01T00:00:00Z,1000.0,8.25,71.75,-1.9210272,-2.4023495
2010-01-01T00:00:00Z,1000.0,8.25,72.0,-1.8438787,-2.3271542
2010-01-01T00:00:00Z,1000.0,8.25,72.25,-1.7100897,-2.1889706
2010-01-01T00:00:00Z,1000.0,8.25,72.5,-1.5899725,-2.0903378
2010-01-01T00:00:00Z,1000.0,8.25,72.75,-1.4928045,-1.9394588
2010-01-01T00:00:00Z,1000.0,8.25,73.0,-1.3780584,-1.7641659
2010-01-01T00:00:00Z,1000.0,8.25,73.25,-1.3145819,-1.6484432
2010-01-01T00:00:00Z,1000.0,8.25,73.5,-1.1529608,-1.441412
2010-01-01T00:00:00Z,1000.0,8.25,73.75,-1.0479803,-1.3227596
2010-01-01T00:00:00Z,1000.0,8.25,74.0,-0.89612484,-1.1333065
2010-01-01T00:00:00Z,1000.0,8.25,74.25,-0.8136053,-0.99658775
2010-01-01T00:00:00Z,1000.0,8.25,74.5,-0.7623358,-0.7578182
2010-01-01T00:00:00Z,1000.0,8.25,74.75,-0.66956234,-0.5400448
2010-01-01T00:00:00Z,1000.0,8.25,75.0,-0.67591,-0.42334557
