"Year","Month","SST.UPW.1","SST.UPW.2","SST.UPW.3","SST.UPW.4","SST.UPW.5","Bakun.UPW","EMTperp.UPW","Wetip.UPW","Weperp.UPW"
1995,1,-0.828693087557603,-0.424790681003586,-0.349514990512333,-0.372313472485768,-0.0121225806451584,-219.646096174901,-256.410333611499,-16.030815871923,-0.4379592841468
1995,2,-0.644038095238095,-0.521974603174602,-0.230534453781512,-0.295293277310925,-0.257078571428572,-52.5342464681326,-433.563802938133,-7.60262906385392,-0.117341038769895
1995,3,-0.858358218125957,-0.783639426523298,-0.575160531309301,-0.473326755218217,-0.331759447004607,132.491080701865,-503.661410048455,-1.31370744777527,0.361506583892428
1995,4,-0.269715555555553,-0.250430370370371,-0.235028235294116,-0.220666666666666,0.0956066666666686,295.61898833719,-233.250916575866,0.00263304230091702,-0.164698745828306
1995,5,-0.556742857142858,-0.412672401433692,-0.597502846299811,-0.413886148007588,0.533367741935486,628.268343817562,-1021.89759416596,11.5503424908485,4.87108601182857
1995,6,0.823853968253967,0.549869629629629,0.716822745098039,0.990503529411765,1.62657619047619,796.164776553693,-1098.97137510403,14.4058003760299,7.30675899970678
1995,7,-0.104665437788018,0.742620071684588,1.20309146110057,1.07756204933586,1.59867373271889,573.548260256312,-1387.89836596726,8.9726648245381,3.09514251832409
1995,8,0.261756067588326,0.590678853046597,0.724698292220115,1.06141935483871,1.32340552995392,670.117984064591,-1498.54550423077,12.180356438803,6.00865242167846
1995,9,0.346765079365081,0.563217037037035,0.427963137254903,0.475170980392157,0.85493142857143,766.923277034501,-1479.14885475002,11.8591922828211,5.68566843241084
1995,10,0.100009216589861,-0.145847311827957,-0.0472296015180262,0.32060037950664,0.711829493087556,163.537221556128,-200.966329625712,5.0204827099265,2.09320198633116
1995,11,-0.383076190476192,-0.191766666666666,-0.120305882352941,-0.0240800000000014,0.098081904761905,31.0123481466106,-359.670336964057,4.17738626021492,2.47720026388865
